#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 02 01 56 999 99.0 99.0  1.77 14.29  9.06 258 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 02 26 999 99.0 99.0  1.89 12.50  9.50 271 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 02 56 999 99.0 99.0  1.73 11.76  9.28 276 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 03 26 999 99.0 99.0  1.90 11.76  9.81 273 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 03 56 999 99.0 99.0  1.72 14.29  9.34 275 9999.0 999.0   8.7 999.0 99.0 99.00
2023 01 02 04 26 999 99.0 99.0  1.86 11.76  9.51 271 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 04 56 999 99.0 99.0  1.82 11.76  9.58 269 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 02 05 26 999 99.0 99.0  1.95 11.76  9.71 262 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 06 26 999 99.0 99.0  1.87 14.29  9.63 265 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 06 56 999 99.0 99.0  1.99 14.29 10.15 265 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 07 26 999 99.0 99.0  1.91 14.29  9.92 265 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 07 56 999 99.0 99.0  1.97 15.38  9.25 266 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 08 26 999 99.0 99.0  1.79 14.29  8.99 266 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 08 56 999 99.0 99.0  1.66 13.33  8.89 266 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 09 26 999 99.0 99.0  1.94 15.38  9.80 273 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 09 56 999 99.0 99.0  1.87 14.29  9.60 272 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 10 26 999 99.0 99.0  1.70 15.38  8.93 272 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 10 56 999 99.0 99.0  1.63 15.38  8.73 278 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 02 11 26 999 99.0 99.0  1.96 14.29  9.64 269 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 02 11 56 999 99.0 99.0  1.58 15.38  8.04 273 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 02 12 26 999 99.0 99.0  1.79 15.38  8.75 276 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 02 12 56 999 99.0 99.0  1.69 15.38  8.48 275 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 02 13 26 999 99.0 99.0  1.65 14.29  8.56 276 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 02 13 56 999 99.0 99.0  1.59 14.29  8.20 271 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 02 14 26 999 99.0 99.0  1.89 14.29  9.10 275 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 02 14 56 999 99.0 99.0  2.05 14.29  9.88 273 9999.0 999.0   8.0 999.0 99.0 99.00
2023 01 02 15 26 999 99.0 99.0  1.94 14.29  9.18 271 9999.0 999.0   8.2 999.0 99.0 99.00
2023 01 02 15 56 999 99.0 99.0  1.98 15.38  8.87 276 9999.0 999.0   8.2 999.0 99.0 99.00
2023 01 02 16 26 999 99.0 99.0  2.36 14.29  9.84 268 9999.0 999.0   8.2 999.0 99.0 99.00
2023 01 02 16 56 999 99.0 99.0  2.55 15.38 10.63 276 9999.0 999.0   8.3 999.0 99.0 99.00
2023 01 02 17 26 999 99.0 99.0  2.70 14.29 10.60 276 9999.0 999.0   8.4 999.0 99.0 99.00
2023 01 02 17 56 999 99.0 99.0  2.87 13.33 10.77 272 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 02 18 26 999 99.0 99.0  2.94 14.29 10.74 273 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 02 18 56 999 99.0 99.0  3.21 15.38 11.09 272 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 19 26 999 99.0 99.0  3.45 15.38 10.87 268 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 19 56 999 99.0 99.0  3.47 14.29 10.78 265 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 02 20 26 999 99.0 99.0  3.45 14.29 10.42 268 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 02 20 56 999 99.0 99.0  3.70 15.38 10.59 265 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 02 21 26 999 99.0 99.0  3.46 13.33 10.48 264 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 02 21 56 999 99.0 99.0  3.48 11.76 10.64 269 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 02 22 26 999 99.0 99.0  3.36 16.67 10.71 272 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 02 22 56 999 99.0 99.0  3.45 15.38 11.07 266 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 02 23 26 999 99.0 99.0  3.50 15.38 10.85 269 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 02 23 56 999 99.0 99.0  3.45 15.38 11.04 269 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 03 00 26 999 99.0 99.0  3.42 16.67 10.81 269 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 03 00 56 999 99.0 99.0  3.09 13.33 10.60 262 9999.0 999.0   8.7 999.0 99.0 99.00
2023 01 03 01 26 999 99.0 99.0  3.56 15.38 11.12 265 9999.0 999.0   8.8 999.0 99.0 99.00
2023 01 03 01 56 999 99.0 99.0  3.24 15.38 11.06 268 9999.0 999.0   8.8 999.0 99.0 99.00
2023 01 03 02 26 999 99.0 99.0  3.11 15.38 10.88 266 9999.0 999.0   8.9 999.0 99.0 99.00
2023 01 03 02 56 999 99.0 99.0  2.61 16.67 10.00 265 9999.0 999.0   8.9 999.0 99.0 99.00
2023 01 03 03 26 999 99.0 99.0  3.01 15.38 10.83 268 9999.0 999.0   8.9 999.0 99.0 99.00
2023 01 03 03 56 999 99.0 99.0  3.16 15.38 11.15 268 9999.0 999.0   8.8 999.0 99.0 99.00
2023 01 03 04 26 999 99.0 99.0  3.08 15.38 11.18 271 9999.0 999.0   8.8 999.0 99.0 99.00
2023 01 03 04 56 999 99.0 99.0  3.20 15.38 10.65 265 9999.0 999.0   8.9 999.0 99.0 99.00
2023 01 03 05 26 999 99.0 99.0  2.94 14.29  9.45 269 9999.0 999.0   8.9 999.0 99.0 99.00
2023 01 03 05 56 999 99.0 99.0  3.38 14.29 10.38 266 9999.0 999.0   8.9 999.0 99.0 99.00
2023 01 03 06 26 999 99.0 99.0  3.15 15.38  9.79 269 9999.0 999.0   8.9 999.0 99.0 99.00
2023 01 03 11 26 999 99.0 99.0  4.18 15.38 11.15 271 9999.0 999.0   8.8 999.0 99.0 99.00
2023 01 03 12 26 999 99.0 99.0  4.07 15.38 10.68 273 9999.0 999.0   8.8 999.0 99.0 99.00
2023 01 03 12 56 999 99.0 99.0  3.93 13.33 10.76 272 9999.0 999.0   8.7 999.0 99.0 99.00
2023 01 03 13 26 999 99.0 99.0  4.22 15.38 11.13 269 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 03 13 56 999 99.0 99.0  4.12 15.38 11.18 269 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 03 14 26 999 99.0 99.0  3.91 15.38 10.59 266 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 03 14 56 999 99.0 99.0  3.94 16.67 10.91 266 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 03 15 26 999 99.0 99.0  3.79 15.38 10.67 264 9999.0 999.0   8.5 999.0 99.0 99.00
2023 01 03 15 56 999 99.0 99.0  3.82 16.67 11.13 273 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 03 16 26 999 99.0 99.0  3.87 16.67 10.91 261 9999.0 999.0   8.7 999.0 99.0 99.00
2023 01 03 16 56 999 99.0 99.0  3.79 15.38 11.08 265 9999.0 999.0   8.7 999.0 99.0 99.00
